trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 1.0}",25,0,-86.18696421632167,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.3, 'e': 0.999}",25,0,-108.74928159230075,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.3, 'e': 0.998001}",20,0,-111.9831500598864,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.3, 'e': 0.997002999}",25,0,-188.99479495156123,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
5,False,"{'a': 0.3, 'e': 0.996005996001}",20,0,-127.1748390621599,"{0: 9, 1: 6, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.3, 'e': 0.995009990004999}",20,0,-148.74326215449955,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.3, 'e': 0.994014980014994}",20,0,-87.82260088182458,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.3, 'e': 0.993020965034979}",30,0,-92.8511930800372,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.3, 'e': 0.992027944069944}",20,0,-84.19653813087882,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.3, 'e': 0.991035916125874}",35,0,-243.36769093299523,"{0: 19, 1: 3, 2: 9, 3: 0, 4: 4}",0
11,False,"{'a': 0.3, 'e': 0.9900448802097482}",25,0,-120.31743089232873,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.3, 'e': 0.9890548353295384}",25,0,-94.54483003603252,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.3, 'e': 0.9880657804942089}",25,0,-175.5447198687284,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
14,False,"{'a': 0.3, 'e': 0.9870777147137147}",25,0,-35.19564569879992,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.3, 'e': 0.986090636999001}",30,0,-141.85895660583375,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
16,False,"{'a': 0.3, 'e': 0.985104546362002}",20,0,-95.37799650483058,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.3, 'e': 0.9841194418156399}",25,0,-96.33574140111463,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.3, 'e': 0.9831353223738244}",20,0,-159.79715614266334,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
19,False,"{'a': 0.3, 'e': 0.9821521870514505}",20,0,-193.59482951946623,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
20,False,"{'a': 0.3, 'e': 0.981170034864399}",20,0,-71.69358502110131,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
21,False,"{'a': 0.3, 'e': 0.9801888648295347}",25,0,-114.26504137868852,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
22,False,"{'a': 0.3, 'e': 0.9792086759647052}",20,0,-61.450844024504796,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
23,False,"{'a': 0.3, 'e': 0.9782294672887404}",25,0,-232.73949670143332,"{0: 12, 1: 1, 2: 8, 3: 0, 4: 4}",0
24,False,"{'a': 0.3, 'e': 0.9772512378214517}",20,0,-110.24772929587363,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
25,False,"{'a': 0.3, 'e': 0.9762739865836302}",20,0,-91.97314315397566,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
26,False,"{'a': 0.3, 'e': 0.9752977125970466}",30,0,-164.42496268256605,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 3}",0
27,False,"{'a': 0.3, 'e': 0.9743224148844496}",25,0,-104.2306158481827,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
28,False,"{'a': 0.3, 'e': 0.9733480924695651}",30,0,-158.90320031096468,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
29,False,"{'a': 0.3, 'e': 0.9723747443770956}",25,0,-110.75824405369755,"{0: 11, 1: 5, 2: 8, 3: 1, 4: 0}",0
30,False,"{'a': 0.3, 'e': 0.9714023696327184}",20,0,-82.21587293937327,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
31,False,"{'a': 0.3, 'e': 0.9704309672630858}",20,0,-73.34188928098298,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
32,False,"{'a': 0.3, 'e': 0.9694605362958226}",25,0,-180.9053371481595,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
33,False,"{'a': 0.3, 'e': 0.9684910757595268}",20,0,-76.76431375688382,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
34,False,"{'a': 0.3, 'e': 0.9675225846837673}",25,0,-80.36113709693113,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
35,False,"{'a': 0.3, 'e': 0.9665550620990835}",25,0,-36.205162606153145,"{0: 16, 1: 7, 2: 2, 3: 0, 4: 0}",0
36,False,"{'a': 0.3, 'e': 0.9655885070369844}",20,0,-125.63061625491073,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
37,False,"{'a': 0.3, 'e': 0.9646229185299474}",25,0,-98.81875730491917,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
38,False,"{'a': 0.3, 'e': 0.9636582956114175}",25,0,-82.92658251036093,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
39,False,"{'a': 0.3, 'e': 0.9626946373158061}",20,0,-108.10644005469743,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
40,False,"{'a': 0.3, 'e': 0.9617319426784903}",30,0,-95.02736203889759,"{0: 18, 1: 5, 2: 5, 3: 2, 4: 0}",0
41,False,"{'a': 0.3, 'e': 0.9607702107358118}",20,16,9.63185378895566,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.3, 'e': 0.959809440525076}",20,0,4.80223204126831,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
43,False,"{'a': 0.3, 'e': 0.9588496310845509}",25,11,-29.251729186670328,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
44,False,"{'a': 0.3, 'e': 0.9578907814534663}",30,0,-197.20767803666885,"{0: 16, 1: 3, 2: 8, 3: 0, 4: 3}",0
45,False,"{'a': 0.3, 'e': 0.9569328906720129}",20,0,-25.728327068400997,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
46,False,"{'a': 0.3, 'e': 0.9559759577813408}",20,0,-58.336631340010165,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
47,False,"{'a': 0.3, 'e': 0.9550199818235595}",30,0,-163.89398039623413,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
48,False,"{'a': 0.3, 'e': 0.954064961841736}",30,0,-225.23269248140141,"{0: 15, 1: 2, 2: 9, 3: 1, 4: 3}",0
