trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 1.0}",30,0,-243.2309217064951,"{0: 16, 1: 1, 2: 9, 3: 0, 4: 4}",0
2,False,"{'a': 0.3, 'e': 0.999}",25,0,-114.71409322165228,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.3, 'e': 0.998001}",30,0,-80.84752344535924,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.3, 'e': 0.997002999}",30,0,-118.70117867666818,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.3, 'e': 0.996005996001}",25,0,-72.84078098871974,"{0: 13, 1: 6, 2: 6, 3: 0, 4: 0}",0
6,False,"{'a': 0.3, 'e': 0.995009990004999}",20,0,-17.681004910843196,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.3, 'e': 0.994014980014994}",25,0,-94.27070105887705,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.3, 'e': 0.993020965034979}",25,0,-129.013034820475,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.3, 'e': 0.992027944069944}",25,8,-164.58647196894592,"{0: 7, 1: 3, 2: 4, 3: 0, 4: 3}",1
10,False,"{'a': 0.3, 'e': 0.991035916125874}",20,0,-235.91114304765523,"{0: 9, 1: 3, 2: 3, 3: 0, 4: 5}",0
11,False,"{'a': 0.3, 'e': 0.9900448802097482}",20,0,-100.5765276630284,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
12,False,"{'a': 0.3, 'e': 0.9890548353295384}",20,0,-166.38755144883137,"{0: 9, 1: 5, 2: 3, 3: 0, 4: 3}",0
13,False,"{'a': 0.3, 'e': 0.9880657804942089}",25,0,-161.69760195247304,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
14,False,"{'a': 0.3, 'e': 0.9870777147137147}",30,2,-100.7457419625698,"{0: 21, 1: 0, 2: 5, 3: 0, 4: 2}",1
15,False,"{'a': 0.3, 'e': 0.986090636999001}",25,0,-156.004791608001,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
16,False,"{'a': 0.3, 'e': 0.985104546362002}",20,0,-132.84748181348692,"{0: 8, 1: 2, 2: 9, 3: 0, 4: 1}",0
17,False,"{'a': 0.3, 'e': 0.9841194418156399}",20,0,-76.92353728014152,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.3, 'e': 0.9831353223738244}",25,0,-99.7149790496464,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.3, 'e': 0.9821521870514505}",20,0,-120.96612281444253,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.3, 'e': 0.981170034864399}",25,0,-227.00788910288898,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 4}",0
1,True,"{'a': 0.0, 'e': 0.0}",35,0,-224.69259901532882,"{0: 21, 1: 4, 2: 5, 3: 1, 4: 4}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-125.44737864228189,"{0: 9, 1: 6, 2: 3, 3: 0, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-95.4795540616962,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-135.47973670048938,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-51.70332258003273,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",30,0,-142.7697178096973,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-114.27143322839983,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-143.16101143736893,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,4,-63.91833648757761,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 1}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-150.3888185737415,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
